numero	codigo	titulo	autores	paginas	acceso
1996, Nº 6	1400307	El yacimiento calcolítico de Las Peñas en Quiruelas de Vidriales (Zamora)	Joaquín Blanco Majado; José Ignacio Martín Benito	11-30	abierto
1996, Nº 6	1400310	Estudio geomorfológico del yacimiento protohistórico de Los Cuestos de la Estación, Benavente (Zamora)	Jesús Francisco Jordá Pardo	31-56	abierto
1996, Nº 6	1400315	Arqueología aérea de la Dehesa de Morales en Fuentes de Ropel (Zamora)	Julio del Olmo Martín	57-76	abierto
1996, Nº 6	1400318	Dedicaciones, consagraciones y monumenta consecrationes (ss.VI-XII)	Artemio Manuel Martínez Tejera	77-102	abierto
1996, Nº 6	1400319	Noticia de una nueva pintura en el Museo de León	Luis A. Grau Lobo	103-110	abierto
1996, Nº 6	1400321	Pinturas del Hospital de la Piedad (Benavente)	Fernando Regueras Grande	111-152	abierto
1996, Nº 6	1400325	Repoblación y reorganización de la red viaria	Rafael González Rodríguez	153-178	abierto
1996, Nº 6	1400327	Un documento inédito del Archivo histórico municipal de Benavente (Zamora)	María del Carmen Rodríguez López	179-186	abierto
1996, Nº 6	1400335	La amonedación del conde de Benavente en el siglo XV	Eduardo Fuentes Ganzo	187-202	abierto
1996, Nº 6	1400338	Breve historia de la "Casa del Tinte"	Juan Carlos de la Mata Guerra	203-208	abierto
1996, Nº 6	1400342	Las sepulturas de la iglesia de Santa María de Azogue de Benavente	Elena Hidalgo Muñoz	209-224	abierto
1996, Nº 6	1400345	Algunas consideraciones etnolingüísticas sobre el léxico del Orbigo	Luis Carlos Nuevo Cuervo	225-244	abierto
1996, Nº 6	1400348	Fauna zamorana	José Ignacio Regueras Grande	245-254	abierto
1997, Nº 7	1401003	Repertorio bibliográfico sobre Benavente y los Valles	Emiliano Pérez Mencía	9-20	abierto
1997, Nº 7	1401008	Estudio geoarqueológico del yacimiento de "La Corona"-"El Pesadero" (Manganeses de la Polvorosa, Zamora)	Jesús Francisco Jordá Pardo	21-46	abierto
1997, Nº 7	1401009	Villa romana/basílica cristiana	Julio del Olmo Martín; Fernando Regueras Grande	47-64	abierto
1997, Nº 7	1401011	Cenobios tabarenses	Maurilio Pérez González; Fernando Regueras Grande	65-90	abierto
1997, Nº 7	1401014	Noticia de la actuación arqueológica en el solar de la que fue "Casa del Tinte" de Benavente	Enrique Arnau Basteiro	91-106	abierto
1997, Nº 7	1401015	Monasterio de Moreruela	Saturnino Prieto Morillo	107-122	abierto
1997, Nº 7	1401017	Murales góticos de la provincia de León	Luis A. Grau Lobo	123-150	abierto
1997, Nº 7	1401021	Infraestructura urbana y hacienda concejil	Rafael González Rodríguez	151-184	abierto
1997, Nº 7	1401023	La fortaleza de Benavente en el siglo XV	Isabel Beceiro Pita	185-204	abierto
1997, Nº 7	1401024	La reparación de las murallas de Benavente en el siglo XVII según un documento del Archivo Municipal	José Ignacio Martín Benito; Rafael González Rodríguez	205-212	abierto
1997, Nº 7	1401027	Los motines del panen el noroeste de la Meseta en el verano de 1856	Eduardo Fuentes Ganzo	213-236	abierto
1997, Nº 7	1401032	El vocabulario del Orbigo desde el punto de vista geográfico	Luis Carlos Nuevo Cuervo	237-294	abierto
1997, Nº 7	1401033	Hallazgos arqueológicos en el área de Benavente	Fernando Regueras Grande; José Ignacio Martín Benito	297-316	abierto
1997, Nº 7	1401034	Hallazgo de un "ara" en Castrogonzalo	Emiliano Pérez Mencía	317-321	abierto
1997, Nº 7	1401035	Localización de una tabla desaparecida del retablo de Castrogonzalo	Rafael González Rodríguez	319-324	abierto
1997, Nº 7	1401036	Descubrimiento y restauración de una cripta en la iglesia de Nuestra Señora de la Asunción de Tábara		323-326	abierto
1989, Nº 1	1401601	Prehistoria de Benavente y los valles	José Ignacio Martín Benito	21-44	abierto
1989, Nº 1	1401602	Sigillatas en relieve y estampadas de Villanueva de Azoague (Zamora)	Fernando Regueras Grande; José Ramón López Rodríguez	47-58	abierto
1989, Nº 1	1401603	El monasterio de Ageo	Augusto Quintana Prieto	61-108	abierto
1989, Nº 1	1401604	En Benavente se consumó la unidad de Castilla y León	Damián Yáñez Neira	109-140	abierto
1989, Nº 1	1401605	Fray Toribio de Benavente y Puebla de los Angeles	Raquel del Carmen Fernández Ruiz	141-154	abierto
1989, Nº 1	1401606	Doce plantas medicinales presentes en la zona de Benavente	Luis Vega Membibre	157-164	abierto
1989, Nº 1	1401610	Restos de tortugas y rinocerontes fósiles de Benavente	Emiliano Jiménez Fuentes	165-166	abierto
1989, Nº 1	1401622	Aves y líneas eléctricas	José Ignacio Regueras Grande	167-174	abierto
1989, Nº 1	1401635	El Patrimonio Histórico-Arquitectónico de Villalpando (Zamora)	José Ignacio Martín Benito	177-202	abierto
1989, Nº 1	1401646	Vida religiosa	Rafael Palmero Ramos	205-222	abierto
1989, Nº 1	1401649	Las transformaciones en la población activa femenina de Benavente, reflejo de los cambios económicos y sociales 1950-1981	María Pilar Brel Cachón	223-228	abierto
1989, Nº 1	1401652	La alfarería popular de Benavente	Juan Carlos de la Mata Guerra	229-238	abierto
1989, Nº 1	1401653	Leyes ecológicas en el siglo XVI	Juan Antonio Vega Casado	241-248	abierto
1989, Nº 1	1401655	Un castillo de Benavente	Miguel Hernández Miñambres		abierto
1989, Nº 1	1401667	A mi pueblo natal San Cristóbal de Entreviñas	Miguel Hernández Miñambres		abierto
1989, Nº 1	1401669	Moreruela de Tábara	José Gómez Figueroa		abierto
1989, Nº 1	1401672	Esperando la noche	Segundo de Dios Llorente		abierto
1989, Nº 1	1401676	Un oasis en Castilla	Francisco Posada Marbán	255-258	abierto
1989, Nº 1	1401682	Benavente y Sanabria	José Gómez Figueroa	259-266	abierto
1989, Nº 1	1401684	Moreruela de Tábara	José Gómez Figueroa	267-270	-
1989, Nº 1	1401687	La Fiesta del Toro Enmaromado	Juan Antonio Vega Casado	273-278	abierto
1989, Nº 1	1401688	Zamoranos Ilustres	Damián Yáñez Neira	281-286	abierto
1989, Nº 1	1401691	Lúdica y gozos del "Toro Enmaromado"	Octavio Uña Juárez	289-294	abierto
1989, Nº 1	1401694	Crónica del año 1987 (en Benavente y Comarca)		295-308	abierto
1992, Nº 2	1401807	Aproximación al Paleolítico Inferior en los valles de Benavente	José Ignacio Martín Benito; Juan Carlos Martín Benito	11-30	-
1992, Nº 2	1401809	Noticias sobre tres villae romanas con mosaicos en el valle del Esla	Fernando Regueras Grande	31-42	abierto
1992, Nº 2	1401812	Despoblados medievales en los valles de Benavente	José Carlos Lobato Vidal	43-54	abierto
1992, Nº 2	1401816	Los despoblados en el Condado de Benavente (Siglos XVI-XVII-XVIII)	Abundio García Caballero	55-80	abierto
1992, Nº 2	1401818	Crónica menuda de la vida de Morales del Rey en el siglo XVIII	Miguel Ángel González García	81-100	abierto
1992, Nº 2	1401821	Aportaciones a la difusión del plateresco desde Benavente	José Vicente Luengo Ugidos	101-114	abierto
1992, Nº 2	1401825	Estudio artístico de Santa María del Azogue	Mercedes Rábanos González	115-136	abierto
1992, Nº 2	1401828	Reseña gliptográfica	Saturnino Prieto Morillo	137-164	abierto
1992, Nº 2	1401832	El nivel de instrucción en Benavente en 1981	María Pilar Brel Cachón	165-184	abierto
1992, Nº 2	1401833	Ars et doctrina studendi et docendi de Juan Alfonso de Benavente	Carmen Seisdedos Sánchez	185-192	abierto
1992, Nº 2	1401835	La cigüeña blanca en la provincia de Zamora. 1990		193-203	abierto
1994-1995, Nº 4-5	1402334	Francisco Ynduráin (1910-1994)	Fernando Regueras Grande	11-16	abierto
1994-1995, Nº 4-5	1402335	Aproximación al Paleolítico Inferior en los valles de Benavente	José Ignacio Martín Benito; Juan Carlos Martín Benito	17-50	abierto
1994-1995, Nº 4-5	1402336	Cerámicas neolíticas en tierras de Zamora	Julio Fernández Manzano	51-60	abierto
1994-1995, Nº 4-5	1402337	Nuevos testimonios de joyería prerromana en territorio astur	Germán Delibes de Castro	61-74	abierto
1994-1995, Nº 4-5	1402338	Brigecio	Emiliano Pérez Mencía	75-98	abierto
1994-1995, Nº 4-5	1402339	La Vía de la Plata en sus extremos septentrionales	Ernest Loewinshon	99-108	abierto
1994-1995, Nº 4-5	1402340	Arqueología aérea en tres núcleos campamentales romanos de Zamora y León	Julio del Olmo Martín	109-118	abierto
1994-1995, Nº 4-5	1402341	Miscelánea	Caridad San José Rodríguez; Fernando Regueras Grande	119-142	abierto
1994-1995, Nº 4-5	1402344	El scriptorium de Tábara en la Alta Edad Media y los códices de Beato de Lébana	Hermenegildo García-Aráez Ferrer	143-166	abierto
1994-1995, Nº 4-5	1402347	San Cristóbal, homo viator enlos camnos bajomedievales	Luis A. Grau Lobo	167-184	abierto
1994-1995, Nº 4-5	1402349	El retablo de Castrogonzalo	Rafael González Rodríguez	185-210	abierto
1994-1995, Nº 4-5	1402350	Perspectivas museísticas de la comaca de Benavente	Jorge Juan Fernández	211-234	abierto
1994-1995, Nº 4-5	1402352	Capturas de pescadores profesionales en el río Esla	José Ignacio Regueras Grande	235-244	abierto
1998, Nº 8	1402357	Repertorio bibliográfico sobre Benavente y los valles	Emiliano Pérez Mencía	9-22	abierto
1998, Nº 8	1402358	Fuentes antiguas con referencias a la actual provincia de Zamora	Luis Ramón Menéndez Bueyes	23-46	abierto
1998, Nº 8	1402359	Grafitos del campamento romano de Petavonium (Rosinos de Vidriales, Zamora)	Santiago Carretero Vaquero	47-86	abierto
1998, Nº 8	1402360	Noticias arqueológicas sobre la casa de los obispos de Astorga en Santa Marta de Tera (Zamora)	Manuel Arias Martínez	87-98	abierto
1998, Nº 8	1402361	La influencia de los grabados de Peter de Jode en la escultura leonesa	Arantzazu Oricheta García	99-112	abierto
1998, Nº 8	1402362	Las hermandades leonesas (1282-1235)	Eduardo Fuentes Ganzo	113-140	abierto
1998, Nº 8	1402363	Privilegios y pergaminos de la villa de Benavente (siglo XV)	Vidal Aguado Seisdedos; Pascual Martínez Sopena; Rafael González Rodríguez	141-168	abierto
1998, Nº 8	1402364	Escrituras fundamentales del Hospital de la Piedad de Benavente	Rafael González Rodríguez	169-192	abierto
1998, Nº 8	1402365	Los "hilos" que tejen la trama del poder local	Sonsoles Gómez Carbonero	193-210	abierto
1998, Nº 8	1402366	Crisis obrera y conflictividad social en el nordeste zamorano (1898-1920)	José Ignacio Martín Benito	211-242	abierto
1998, Nº 8	1402367	El habla de la zona de Benavente (I)	Manuel Barrio Prada	243-272	abierto
1998, Nº 8	1402394	Posible reintroducción de rebeco o cabra montés en la alta Sanabria	José Ignacio Regueras Grande	273-284	abierto
1998, Nº 8	1402397	Hallazgos arqueológicos en el área de Benavente (II)	Fernando Regueras Grande; José Ignacio Martín Benito	285-296	abierto
1998, Nº 8	1402404	Una lucerna en terra sigilata hispánica tardía de la villa de Villanueva de Azoague	María Teresa Amaré Tafalla	297-300	abierto
1998, Nº 8	1402406	D. Francisco Costilla Zambranos	Manuel de la Granja Alonso	301-304	abierto
2001, Nº 11	1402427	Descripción morfológica de la armadura instalada en la Torre del Caracol	Saturnino Prieto Morillo	9-28	abierto
2001, Nº 11	1402431	Orisgonta	Luis A. Grau Lobo; Ernesto Callejo	29-42	abierto
2001, Nº 11	1402438	El monasterio de San Salvador de Villaverde de Vidriales	Rafael González Rodríguez	43-62	abierto
2001, Nº 11	1402442	Las hermandades leonesas (II)	Eduardo Fuentes Ganzo	63-78	abierto
2001, Nº 11	1402447	Las acuñaciones benaventanas en tiempos de Enrique IV	León España	79-98	abierto
