numero	codigo	titulo	autores	paginas	acceso
2005, Nº 15	2002829	A vueltas con el primer libro impreso en Benavene	Fernando Regueras Grande	339-348	abierto
2005, Nº 15	3244781	Loca Ficta	Ignacio Arellano Ayuso	349-350	abierto
2005, Nº 15	3244786	Don Quijote de la Mancha		350-351	abierto
2005, Nº 15	3244790	Reales sitios, nº 164 de 2005		351-353	abierto
2005, Nº 15	3244849	Actas del Symposium Internacional Velázquez, Sevilla (1999)		353-354	abierto
2005, Nº 15	3244851	L'ultimo tempo 1606-1610, Catalogo della Mostra, Museo di Capodimonte, Nápoles, 23 de octubre de 2004 a 23 de enero de 2005	Fernando Regueras Grande; Michelangelo Merisi Caravaggio	354-356	abierto
2005, Nº 15	3244854	El léxico de la flora silvestre en Zamora	Luis Carlos Nuevo Cuervo; Félix Llamas García; Manuel Agustín Esgueva Martínez	356-358	abierto
2005, Nº 15	3244857	Los caminos y la construcción del territorio en la provincia de Zamora	Rafael González Rodríguez; María Pilar Luisa Chías Navarro; Tomás Abad Balboa	358-361	abierto
2006, Nº 16	2312751	El paisaje sonoro de la villa de Benavente en una celebración festiva del siglo XVIII	Juan Pablo Fernández González	17-25	abierto
2006, Nº 16	2312756	Tres privilegios reales del fondo documental del monasterio de San Martín de Castañeda	Rafael González Rodríguez	29-40	abierto
2006, Nº 16	2312925	Notas históricas para la propuesta de escudo y bandera de Bretocino (Zamora)	Rafael González Rodríguez; José Ignacio Martín Benito	41-53	abierto
2006, Nº 16	2313104	"Ex ungue leonem"	Fernando Manzano Ledesma	67-76	abierto
2006, Nº 16	2313122	El comandante de caballería D. Gonzalo Silvela Tordesillas (1906-1938)	Manuel Fernández del Hoyo	77-106	abierto
2006, Nº 16	2313581	La depuración franquista en el magisterio benaventano (1936-1942)	Lucio Martínez Pereda	107-145	abierto
2006, Nº 16	2313586	Audelino González Villa. Veterinario, bibliófilo y heterodoxo en Benavente	Rodolfo A. González Vidal	147-160	abierto
2006, Nº 16	2313595	Zamora por la defensa del lago de Sanabria	Damián Yáñez Neira	161-173	abierto
2006, Nº 16	2313598	Arte y arquitectura Mudéjar en las provincias de León y Zamora II	Pedro José Lavado Paradinas	177-226	abierto
2006, Nº 16	2313601	Los arquitectos Torbado en Villalpando	Rafael Ángel García-Lozano	227-252	abierto
2006, Nº 16	2313606	Homenaje a Baltasar Lobo	Manuela Nieto Quintanilla	253-261	abierto
2006, Nº 16	2313613	Algunas notas sobre "La Piedad Ejecutada", comedia genealógica de Lope de Vega inspirada en la historia de los Condes de Benavente	Roxana Pérez Hidalgo	265-285	abierto
2006, Nº 16	2313617	Árboles y bosquetes singulares de la comarca de Benavente	José Ignacio Regueras Grande	285-312	abierto
2006, Nº 16	2313618	Las fachadas de Santa María de Medina de Rioseco (Valladolid) y su influencia	Ramón Pérez de Castro; Carlos Duque Herrero	315-326	abierto
2006, Nº 16	2313623	"Plaqueta" renacentista de la colección Nicasio Rodríguez Durán	Fernando Regueras Grande	327-332	abierto
2007, Nº 17	2671913	Villas romanas del Duero	Fernando Regueras Grande	11-59	abierto
2007, Nº 17	2671918	Benavente, tierra de frontera entre suevos y visigodos en el siglo VI	Daniel González Barrio	61-71	abierto
2007, Nº 17	2671937	Poblamiento medieval y estructuras de poder en el norte de Zamora. Algunas reflexiones en torno a Camarzana de Tera	Rafael González Rodríguez	75-115	abierto
2007, Nº 17	2671946	Los sepulcros del conventos de Nuestra Señora del Valle	Manuel Fernández del Hoyo	117-133	abierto
2007, Nº 17	2671955	Noticias de la desaparecida iglesia de San Martín de Paladinos del Valle (Zamora)	Constantino Blanco Rubio	135-147	abierto
2007, Nº 17	2671970	El convento de Santo Domingo	Fernando Manzano Ledesma	149-161	abierto
2007, Nº 17	2671978	La delincuencia isabelina en el partido judicial de Benavente (1833-1868)	Rubén Domínguez Méndez	163-181	abierto
2007, Nº 17	2671987	El "Centro Zamorano-Leonés" de Madrid (1929-1930)	Juan Miguel Álvarez Domínguez	183-198	abierto
2007, Nº 17	2671996	El hallazgo de la documentación de la antigua prisión de Puebla de Sanabria	Lucio Martínez Pereda	199-213	abierto
2007, Nº 17	2672006	El cielo de Benavente	Elena Hidalgo Muñoz	217-237	abierto
2007, Nº 17	2672013	Los Bienes de Interés Cultural en la provincia de Zamora	José Ignacio Martín Benito	241-271	abierto
2007, Nº 17	2672017	Una tabla inédita de la Escuela de Toro en el convento de Santa Clara de Benavente	Irune Fiz Fuertes	275-280	abierto
2007, Nº 17	2672023	Los nuevos documentos de arqueología aérea en la provincia de Zamora	Julio del Olmo Martín	281-290	abierto
2007, Nº 17	2672030	Una fotografía inédita de la iglesia del monasterio de San Francisco de Benavente	Rafael González Rodríguez	291-300	abierto
2007, Nº 17	2672041	El maestro Gabino Ortega y el órgano de la parroquia de San Nicolás de Benavente (Zamora)	Jesús Félix Pascual Molina; Ramón Pérez de Castro	301-307	abierto
2007, Nº 17	3245956	"La música en las Casas de Osuna y Benavente (1733-1882)	Fernando Regueras Grande; Juan Pablo Fernández González; María Gembero Ustárroz	325-332	abierto
2007, Nº 17	3245964	Horizontes de libertad	Luis Carlos Nuevo Cuervo	332-334	abierto
2008-2009, Nº 18-19	3155646	Bellum asturicum	José Luis Vicente González	13-77	abierto
2008-2009, Nº 18-19	3155650	El señorío de la Casa de Almanza en tierras zamoranas en el siglo XV	Elías Rodríguez Rodríguez	81-127	abierto
2008-2009, Nº 18-19	3155653	Las ordenanzas de La Torre del Valle de 1527	Constantino Blanco Rubio	129-145	abierto
2008-2009, Nº 18-19	3155657	Una aproximación a la villa de Benavente en el siglo XVII	José Ignacio Martín Benito	147-157	abierto
2008-2009, Nº 18-19	3155660	La cofradía de Nuestra Señora del Rosario de Paladinos del Valle. Noticia histórica	Constantino Blanco Rubio	159-184	abierto
2008-2009, Nº 18-19	3155661	Ceremonias político-religiosas y propaganda social en Benavente durante la Guerra Civil	Lucio Martínez Pereda	185-214	abierto
2008-2009, Nº 18-19	3155663	Imaginería gótica de los siglos XIII y XIV en los valles del Tera y de Vidriales (Zamora)	Rubén Fernández Mateos	217-235	abierto
2008-2009, Nº 18-19	3155665	Vocabulario del valle del Tera (I)	Clemente Vara Gallego; Luis Carlos Nuevo Cuervo	239-267	abierto
2008-2009, Nº 18-19	3155666	Capturas, biometría y edades de corzos y ciervos en un coto de caza de Sanabria (Zamora)	José Ignacio Regueras Grande	271-288	abierto
2008-2009, Nº 18-19	3155723	Restauración de la imagen del Stmo. Cristo de Santo Tomé de Quintanilla del Monte (Zamora)	Alicia Mansilla Fermoso; Tomás Osorio Burón	291-294	abierto
2008-2009, Nº 18-19	3155725	"Memento mori". Una lauda sepulcral del monasterio de Santo Domingo de Benavente	Rafael González Rodríguez	295-299	abierto
2008-2009, Nº 18-19	3155730	El monasterio de Sancti Spiritus de Benavente. Aventuras y desventuras de dos retablos zamoranos en Marmolejo (Jaén)	Rafael González Rodríguez	301-305	abierto
2008-2009, Nº 18-19	3155737	La catástrofe de Ribadelago en la prensa nacional	Rafael Ángel García-Lozano	307-312	abierto
2008-2009, Nº 18-19	3155749	Nuevas imágenes sobre el castillo de Benavente.	Fernando Regueras Grande	313-321	abierto
2008-2009, Nº 18-19	3155754	Futuro incierto del patrimonio arquitectónico de Benavente. Algunas propuestas	Oscar Huerga Miñambres	323-328	abierto
2008-2009, Nº 18-19	3246008	Pasión por la madera	Fernando Regueras Grande; Avelino Martínez Rodríguez	339-340	-
2010, Nº 20	3731284	El Castillón, un poblado tardoantiguo en el valle del Esla	José Carlos Sastre Blanco; Alicia Tejeiro Pizarro	11-21	abierto
2010, Nº 20	3731292	El castillo y la muralla de Belver de los Montes (Zamora)	José Ignacio Martín Benito	25-50	abierto
2010, Nº 20	3731294	Notas históricas para la propuesta de escudo de Tábara (Zamora)	José Ignacio Martín Benito; Rafael González Rodríguez	51-58	abierto
2010, Nº 20	3731302	Eruditos de la Ilustración. Entre gallegos y benaventanos	José Ignacio del Amo Lobo	59-67	abierto
2010, Nº 20	3731320	El Mayorazgo de La Gándara	José Ignacio del Amo Lobo	69-102	abierto
2010, Nº 20	3731322	El término municipal de Santovenia del Esla y sus despoblados según las Respuestas Generales del Catastro de la Ensenada	Samuel Mezquita Cordero	103-123	abierto
2010, Nº 20	3732005	Villaferrueña según las Respuestas Generales del Catastro del Marqués de Ensenada	Eugenio Fernández Domínguez	125-136	abierto
2010, Nº 20	3732009	El Beato de San Miguel y los monasterios de Valdetábara	José Ferrero Gutiérrez	139-159	abierto
2010, Nº 20	3732011	Santa Marta de Tera	Ángel Panizo Delgado	161-187	abierto
2010, Nº 20	3732014	Notas para la historia del arte de Benavente y su comarca	Miguel Ángel González García	189-196	abierto
2010, Nº 20	3732019	La tercera fachada del Hospital de La Piedad de Benavente	Elena Hidalgo Muñoz	197-208	abierto
2010, Nº 20	3732022	Vocabulario del Valle del Tera (II)	Clemente Vara Gallego; Luis Carlos Nuevo Cuervo	211-248	abierto
2010, Nº 20	3732024	Miguel Hernández Miñambres, poeta y autor de la letra del himno de Benavente	María Teresa Hernández	249-265	abierto
2010, Nº 20	3732029	Los juegos tradicionales en Benavente y los Valles (II)	Manuel Barrio Prada	269-280	abierto
2010, Nº 20	3732030	El dominio del monasterio de San Martín de Castañeda en Benavente y su comarca en los siglos centrales de la Edad Media	Natán Guijarro Menéndez	283-292	abierto
2010, Nº 20	3732034	El valeroso caballero y animoso capitán Francisco de Villagrá. En torno a una sepultura de San Juan del Mercado	Rafael González Rodríguez	293-297	abierto
2010, Nº 20	3732048	Una descripción de Benavente y su castillo en un tratado del siglo XVIII	Rafael González Rodríguez	299-306	abierto
2010, Nº 20	3732052	Varia Tabarense	Fernando Regueras Grande	307-315	abierto
2010, Nº 20	3732057	La villa de Camarzana	Fernando Regueras Grande	319-323	abierto
2011-2012, Nº 21-22	4186166	Aproximación a los sistemas defensivos de El Castillón (Santa Eulalia de Tábara, Zamora)	Óscar Rodríguez Monterrubio; José Carlos Sastre Blanco	11-22	abierto
2011-2012, Nº 21-22	4186172	Escultura en las "villae" romanas del Duero. Síntesis e inventario	Fernando Regueras Grande	23-47	abierto
2011-2012, Nº 21-22	4186174	Dos cartas y dos dibujos relativos a los hallazgos arqueológicos de Camarzana de Tera en 1862	Juan Ignacio Panizo Santos	49-60	abierto
2011-2012, Nº 21-22	4186182	"Sol eclipsim patitur". Sobre la muerte del rey Fernando II de León en Benavente	Rafael González Rodríguez	63-79	abierto
2011-2012, Nº 21-22	4186189	De los siglos centrales de la Edad Media a los inicios del siglo XVIII	Natán Guijarro Menéndez	81-89	abierto
2011-2012, Nº 21-22	4186196	La Santa Vera Cruz de Benavente, una de las Cofradías más antiguas de España	Juan Carlos de la Mata Guerra	91-101	abierto
2011-2012, Nº 21-22	4186199	Un hidalgo rural del siglo XVIII	Elías Rodríguez Rodríguez	103-121	abierto
2011-2012, Nº 21-22	4186201	Respuestas generales del Catastro de Ensenada en Matilla de Arzón	José Ignacio del Amo Lobo	123-143	abierto
2011-2012, Nº 21-22	4186204	En la merindad de Valverde. Villanázar: notas para su historia	José Ignacio Martín Benito	145-168	abierto
2011-2012, Nº 21-22	4186208	Proclamaciones y Juras de reyes y constituciones en el Siglo XIX	Eduardo Fuentes Ganzo	169-192	abierto
2011-2012, Nº 21-22	4186211	La obra del escultor Gregorio Español en Barcial del Barco y Villarrín de Campos (Zamora) y otras noticias artísticas de ambas localidades	Miguel Ángel González García	195-213	abierto
2011-2012, Nº 21-22	4186216	La ermita de Misfelis de Villalpando	Rafael Ángel García-Lozano	215-223	abierto
2011-2012, Nº 21-22	4186219	Dos Cristos góticos del mismo taller en Tierra de Campos	Jesús Cuesta Salado	227-232	abierto
2011-2012, Nº 21-22	4186222	Noticia artística del entallador Bartolomé Hernández y el pintor Pedro de Bilbao	Rubén Fernández Mateos	233-239	abierto
2011-2012, Nº 21-22	4186227	Santa Marta de Tera	Ángel Panizo Delgado	241-246	abierto
2011-2012, Nº 21-22	4186231	Noticia de la construcción de la capilla mayor en la iglesia de Pobladura del Valle (año 1700)	Constantino Blanco Rubio	247-252	abierto
2011-2012, Nº 21-22	4186234	Una fotografía desconocida del Museo del Prado de finales del siglo XIX	Fernando Regueras Grande	253-257	abierto
2013, Nº 23	4848307	Mosaicos romanos del Conventus Asturum	Fernando Regueras Grande	11-32	abierto
2013, Nº 23	4848328	El descubrimiento de una necrópolis olerdolana en Rionegro del Puente y su vinculación con la creación de la Cofradía de los Falifos	Julio Samuel Badenes Almenara	33-52	abierto
2013, Nº 23	4848330	De "Castro de Acebal a Villacebola y VillaMaiore"	César Gutiérrez Vidal	55-66	abierto
2013, Nº 23	4848333	El fenómeno de la luz equinoccial en Santa Marta de Tera	Juan Pérez Valcárcel; Victoria Pérez Palmero	67-78	abierto
2013, Nº 23	4848334	Inventos e inventores benaventanos	María Jesús Berzal Tejero	79-92	abierto
2013, Nº 23	4848338	Los últimos barqueros de los Valles de Benavente	José Ignacio Martín Benito	93-113	abierto
2013, Nº 23	4848341	La colección de reliquias de la iglesia de Santa Marta de Tera	Ángel Panizo Delgado	117-132	abierto
2013, Nº 23	4848343	La "Servilleta de Fisac"	Nazario Ballesteros Miguélez	133-156	abierto
2013, Nº 23	4848344	El penúltimo canto del cisne de Miguel Fisac	Rafael Ángel García-Lozano	157-180	abierto
2013, Nº 23	4848345	Árboles y bosquetes singulares de la comarca de Sanabria-Carballeda	José Ignacio Regueras Grande	183-219	abierto
2013, Nº 23	4848352	Crónica de una rehabilitación	María José Rodríguez Pérez	223-237	abierto
2013, Nº 23	4848355	Bercianos de Valverde	Fermín de Vega Parra; Maria del Carmen de Vega Diéguez	241-263	abierto
2013, Nº 23	4848359	Mujer y desempleo en la comarca de Benavente y los Valles (año 2011)	Esther Gutiérrez Prieto	267-288	abierto
2013, Nº 23	4848417	Un "contorniato" de Nerón con el "Rapto de las Sabinas" en la "villa" de Quintana del Marco (León)	Fernando Regueras Grande	291-295	abierto
2013, Nº 23	4848421	Villaquejida, veinte años después	Fernando Regueras Grande	297-302	abierto
2013, Nº 23	4848446	Una escultura en la capilla de Álvaro de Ordás en Castroverde de Campos (Zamora)	Jesús Cuesta Salado	303-308	abierto
2013, Nº 23	4848449	La arquitectura de barro en los valles de Vidriales	Silvia Blanco Iglesias	309-319	abierto
2013, Nº 23	4848451	Nuevas imágenes, viejos problemas	Fernando Regueras Grande	321-326	abierto
2014-2015, Nº 24-25	5257738	Fr. Damián Yañez Neira (1916-2015). Una vida dedicada al Cister	José Ignacio Martín Benito	9-11	abierto
2014-2015, Nº 24-25	5257739	John Williams (1928-2015)	Fernando Regueras Grande	13-14	abierto
2014-2015, Nº 24-25	5257740	Cuatro reliquias y un retraso de Santa Teresa de Jesús en el Museo Parroquial de Santa Marta de Tera	Ángel Panizo Delgado	17-30	abierto
2014-2015, Nº 24-25	5257741	Paladinos del Valle, historia de una entidad local menor	Constantino Blanco Rubio	31-42	abierto
2014-2015, Nº 24-25	5257742	En torno al Filandón. Hiladuras, telares y veladas en el norte de Zamora (siglos XVIII-XX)	José Ignacio Martín Benito	43-72	abierto
2014-2015, Nº 24-25	5257743	Un viaje por Zamora en 1909. El realizado por los comisionados de la Exposición Regional Gallega (Sección Arqueológica)	Carlos Santos Fernández	73-104	abierto
2014-2015, Nº 24-25	5257744	Los signos de cantero en Santa María de Azogue de Benavente	José Luis Bozal González	107-122	abierto
2014-2015, Nº 24-25	5257745	La portada meridional de la Iglesia de Santa Marta de Tera	Ángel Panizo Delgado	123-144	abierto
2014-2015, Nº 24-25	5257746	Un San Sebastián de Gregorio Español en Santa María de Azogue de Benavente	Rubén Fernández Mateos	145-153	abierto
2014-2015, Nº 24-25	5257747	El entallador leonés Jaques Bernal y el retablo mayor de San Salvador de Abezames	Sergio Pérez Martín	155-178	abierto
2014-2015, Nº 24-25	5257748	El Castillo de Benavente según Richard Ford	Fernando Regueras Grande	179-191	abierto
2014-2015, Nº 24-25	5257749	Mujer y desempleo en la Comarca de Benavente y los Valles (año 2011). Parte II Demografía	Esther Gutiérrez Prieto	195-212	abierto
2014-2015, Nº 24-25	5257750	Nuevo dibujo del mosaico descubierto en "Lancia" en el siglo XIX	Fernando Regueras Grande	215-217	abierto
2014-2015, Nº 24-25	5257751	El Poblamiento romano de Castrogonzalo (Benavente)	Amparo Valcárcel Estors; Joan Garibo Bodí; Manuel Vázquez Fadón; Víctor Iturbe; José Carlos Sastre Blanco	219-224	abierto
2014-2015, Nº 24-25	5257752	John Hatch Synge	José Mariño Serrano	225-228	abierto
2014-2015, Nº 24-25	5257753	Una nota sobre la Virgen con el Niño del Hospital de la Piedad de Benavente	Fernando Regueras Grande	229-234	abierto
2014-2015, Nº 24-25	5257754	Gordoncillo (León) abre un Museo y Centro Cultural en su antigua Fábrica de Harinas	Javier Revilla Casado	235-238	abierto
2016, Nº 26	5737472	Nueva lectura y estudio del ara romana de Castrogonzalo (Zamora)	David Martino García	13-23	abierto
2016, Nº 26	5737473	Caballitos	Fernando Regueras Grande; Víctor Iturbe Martínez	25-40	abierto
2016, Nº 26	5737474	La Cofradía de Santa Bárbara de San Román del Valle	Constantino Blanco Rubio	43-66	abierto
2016, Nº 26	5737475	Las Cofradías en el manuscrito sobre la parroquia y pueblo de Villaveza del Agua, de D. Emilio José Prieto González	María Pilar Valderas Sastre	67-95	abierto
2016, Nº 26	5737476	La descripción militar de la frontera hispano-portuguesa entre Galicia y la confluencia de los ríos Águeda y Duero en 1800. El informe de los ingenieros Florian Gerig y Julián Albo	José Ignacio Martín Benito	97-126	abierto
2016, Nº 26	5737477	De la II República en Benavente (I)	Eduardo Fuentes Ganzo	127-165	abierto
2016, Nº 26	5737478	La imagen de la Inmaculada Concepción del convento franciscano de Castroverde de Campos. Nuevos datos para su atribución	Jesús Cuesta Salado	169-179	abierto
2016, Nº 26	5737479	La obra del arquitecto Miguel Baz en Benavente	Javier Carbayo Baz	181-202	abierto
2016, Nº 26	5737480	El último abad del Monasterio de Santa Marta de Tera	Ángel Panizo Delgado	205-212	abierto
2016, Nº 26	5737481	Una obra atribuible al taller de Sebastián Ducete en Fuentesecas (Zamora)	Rubén Fernández Mateos; Sergio Pérez Martín	213-218	abierto
2016, Nº 26	5737482	Contrato de refundición de las campanas de la Iglesia de Paladinos del Valle	Constantino Blanco Rubio	219-222	abierto
2016, Nº 26	5737483	Durruti según Lobo	Luis A. Grau Lobo	223-226	abierto
2016, Nº 26	5737484	Una "oyenda" sobre el oso en Muelas de los Caballeros	Jorge Santiago Pardo	227-231	abierto
2016, Nº 26	5737485	Nuevas de Tábara (2015-2016)	Fernando Regueras Grande	233-238	abierto
2017, Nº 27	6216717	Triente de Sisebuto y dinar de indicción en dos "villae" romanas leonesas	Fernando Regueras Grande; Isabel Rodríguez Casanova	11-24	abierto
2017, Nº 27	6216718	Origen, contexto histórico y sentido del milagro de la Virgen de la Carballeda	Julio Samuel Badenes Almenara	27-43	abierto
2017, Nº 27	6216719	Los Villalobos en Santa María la Real de Aguilar de Campoo	José Ignacio del Amo Lobo	45-58	abierto
2017, Nº 27	6216720	El "cursus honorum" de Enrique Pimentel (1574-1653), obispo de Valladolid y Cuenca	José Ignacio Martín Benito	59-82	abierto
2017, Nº 27	6216721	El Advenimiento de la Segunda República en Benavente, 1930-1931	Fernando Pernía Vega	83-102	abierto
2017, Nº 27	6216722	La II República en Benavente (II)	Eduardo Fuentes Ganzo	103-136	abierto
2017, Nº 27	6216723	"Venustas" pictórico en la arquitectura mozárabe	Luis A. Grau Lobo	139-152	abierto
2017, Nº 27	6216724	Sobre cuatro esculturas tardogóticas en Tábara, posibles restos del sepulcro de Pedro Pimentel (+1504) señor de la villa	Miguel Angel Marcos Villán	153-163	abierto
2017, Nº 27	6216725	La difusión de un tipo iconográfico de Gregorio Fernández	Ramón Pérez de Castro	165-174	abierto
2017, Nº 27	6216726	Antecedentes de la arquitectura religiosa contemporánea en la Zamora agropecuaria	Rafael Ángel García-Lozano	175-182	abierto
2017, Nº 27	6216727	En torno a dos tumbas excavadas en la roca en Fresno de Carballeda y otros lugares zamoranos	José Ignacio Martín Benito	185-191	abierto
2017, Nº 27	6216728	Un contrato de subarrendamiento de la barca de Santibáñez de Tera, 1819	José Ignacio Martín Benito	193-195	abierto
2017, Nº 27	6216729	Reforma de la carpintería de la planta alta del patio del Hospital de la Piedad de Benavente	Julio Carbajo Carbajo; Luis López Sánchez	197-201	abierto
2018, Nº 28	6975375	En torno a la inauguración de la "villa" de Camarzana de Tera.	Fernando Regueras Grande	11-24	abierto
2018, Nº 28	6975376	Promotores, clasicismo y estilo en el arte mozárabe leonés	Fernando Regueras Grande	27-45	abierto
2018, Nº 28	6975377	Motolinía en japonés	José Luis Soto Pérez	49-60	abierto
2018, Nº 28	6975378	Minería en Zamora	José Ignacio Martín Benito	61-89	abierto
2018, Nº 28	6975379	“Imago legionis”: el mapa del Reino de León de Bertius-Hondius ca. 1618	Eduardo Fuentes Ganzo	91-102	abierto
2018, Nº 28	6975380	Villanueva del Campo según las Respuestas Generales del Catastro del Marqués de la Ensenada	Juan Manuel Hernández Centenero	103-134	abierto
2018, Nº 28	6975381	Estudio de las dehesas de Requejo y Quintanilla (Tábara, Zamora) 1916-1936	Francisco Trancón Pérez	135-148	abierto
2018, Nº 28	6975382	Partidos y asociaciones políticas en el Benavente republicano, 1931-1936	Fernando Pernía Vega	149-168	abierto
2018, Nº 28	6975383	"La Almena", una necrópolis excavada en roca (Valparaiso, Zamora).	José Ignacio Martín Benito	171-174	abierto
2018, Nº 28	6975384	Noticia sobre el antiguo órgano del monasterio de San Bernardo de Benavente hoy en la "Seu Vella" de Lérida.	Fernando Regueras Grande	175-178	abierto
2018, Nº 28	6975385	Un legado para Benavente, ¿crónica de una decepción?	Horacio Navas	179-186	abierto
2019, Nº 29	7274932	Artesonados de procedencia zamorana en el Museo Nacional de Escultura (II)	Miguel Angel Marcos Villán	13-22	abierto
2019, Nº 29	7274933	En torno a una obra de Juan Carreño Miranda en el Hospital de la Piedad de Benavente y el contador Juan Antonio Silvestre (c. 1606-1672)	José Ignacio Martín Benito	23-42	abierto
2019, Nº 29	7274934	Glosas a contrapelo	Fernando Regueras Grande	43-71	abierto
2019, Nº 29	7274935	Conflictos de términos en la Raya hispano-portuguesa en el siglo XVI	José Ignacio Martín Benito	75-102	abierto
2019, Nº 29	7274936	Catástrofes en el Condado de Benavente	José Ignacio Martín Benito	103-117	abierto
2019, Nº 29	7274937	Estudio de población, apellidos, derechos parroquiales, usos y costumbres. Otero de Sariegos (Zamora), siglo XIX	Francisco Trancón Pérez	119-134	abierto
2019, Nº 29	7274938	La construcción de la iglesia del Señor San Salvador en la villa de Villamañán. Siglo XVI	Ovidio Prieto Martínez	135-158	abierto
2019, Nº 29	7274939	El Condado de Benavente en Tierra de Campos. Disputas señoriales en el Antiguo Régimen	Carlos Álvarez-Rubio	159-173	abierto
2019, Nº 29	7274940	Las viejas unidades de superficie en la provincia de Zamora. Distribución, antecedentes y pervivencia	Pascual Riesco Chueca	175-202	abierto
2019, Nº 29	7274941	La Tierra de Benavente	Aurelio Cebrián Abellán	203-222	abierto
2019, Nº 29	7274942	Análisis del estado ecológico de los ríos en la comarca de Benavente y los Valles	Lucía García González; Paula Ferrero Alonso; Loreto Díez Fernández; Rafael Pérez Romero	225-235	abierto
2019, Nº 29	7274943	Sobre el Libro Becerro de los condes de Benavente	José Ignacio Martín Benito	239-250	abierto
2019, Nº 29	7274944	Nueva arqueta relicario del V Conde de Benavente en el mercado anticuario	Fernando Regueras Grande	251-254	abierto
2019, Nº 29	7274945	Alegato en defensa de la cúpula barroca del santuario de la Carballeda, Rionegro del Puente	Julio Samuel Badenes Almenara	255-262	abierto
2020, Nº 30	7890041	La prehistoria de la sal	Germán Delibes de Castro; Francisco Javier Abarquero Moras; Elisa Guerra Doce	11-33	abierto
2020, Nº 30	7890042	Ocho retablos de la primera mitad del siglo XVII en Castroverde de Campos (Zamora)	Jesús Cuesta Salado	37-70	abierto
2020, Nº 30	7890043	Nuevas sobre la fortaleza de los Pimentel de Benavente	Fernando Regueras Grande	71-86	abierto
2020, Nº 30	7890044	Ursicina Martínez Gallego (1906-2004), una pionera en el Museo Arqueológico de León (1931-1941)	Ana Azor Lacasta	89-112	abierto
2020, Nº 30	7890045	Cuestiones biográficas acerca de fray Toribio de Benavente y bases de su formación intelectual	Francisco José Rebordinos Hernando; Juan Carlos de la Mata Guerra	115-143	abierto
2020, Nº 30	7890046	Nuevos aportes documentales sobre los orígenes y educación de un personaje universal	Francisco José Rebordinos Hernando; Juan Carlos de la Mata Guerra	145-174	abierto
2020, Nº 30	7890047	Estampa de Carbajales de Alba en tiempos de las Comunidades (1520-1522)	Pascual Riesco Chueca	175-199	abierto
2020, Nº 30	7890048	Conflictos en la Raya	José Ignacio Martín Benito	201-225	abierto
2020, Nº 30	7890049	Análisis de algunos aspectos relacionados con la reedificación y supresión del Convento de San Francisco de Benavente (siglos XVI-XIX)	Francisco Trancón Pérez	229-247	abierto
2020, Nº 30	7890050	El expediente de construcción del cementerio de Villanueva del Campo (Zamora) durante los años 1835-1838	Juan Manuel Hernández Centenero	249-261	abierto
2020, Nº 30	7890051	De Osuna a Patilla	José Ignacio Primo Martínez	263-284	abierto
2020, Nº 30	7890052	Apuntes sobre la comunidad protestante en Castrogonzalo (Zamora) hasta los inicios de la Guerra Civil	Víctor Iturbe Martínez; Rafael González Rodríguez	285-305	abierto
2020, Nº 30	7890053	Pleito entre el conde de Benavente y los marqueses de Viana en 1601 sobre la titularidad de un "juro a dos vidas"	Juan Carlos de la Mata Guerra	309-316	abierto
2021, Nº 31	8545255	D. José Muñoz Miñambres (1932-2021)	José Ángel Rivera de las Heras	11-12	abierto
2021, Nº 31	8545256	José Ignacio del Amo Lobo (1948-2022)	Fernando Regueras Grande	13-14	abierto
2021, Nº 31	8545257	Algunos restos mozárabes en Ayóo de Vidriales	Fernando Regueras Grande	17-30	abierto
2021, Nº 31	8545258	La reconstrucción de la iglesia parroquial de Vega de Villalobos (Zamora)	María Jesús Pérez López	31-51	abierto
2021, Nº 31	8545259	Ermita de Nuestra Señora de la Pedrera o Montes Negros, Dehesa Quintos, término de Santa Eulalia de Tábara (Zamora). 1647-1955	Francisco Trancón Pérez	55-70	abierto
2021, Nº 31	8545260	Proceso del abasto de la tienda, abacería, taberna y carnicería propias de la villa de Villanueva del Campo (Zamora) en el siglo XVIII	Juan Manuel Hernández Centenero	71-86	abierto
2021, Nº 31	8545261	Concordia entre el convento y el concejo y vecinos de San Román acerca de la presentación del "curato" de la parroquia (1648)	Luis Rubio Morán	87-110	abierto
2021, Nº 31	8545262	El monasterio de Moreruela en Portugal y su contribución en el proceso señorial y colonizador de Trás-os-Montes (Tierras de Braganza y Miranda)	José Ignacio Martín Benito	111-135	abierto
2021, Nº 31	8545263	Audelino / Almoína, historia de una amistad	Víctor Iturbe Martínez; Fernando Regueras Grande	139-171	abierto
2021, Nº 31	8545264	Benavente y los Carmelitas Descalzos	Óscar Ignacio Aparicio Ahedo	173-196	abierto
2021, Nº 31	8545265	Camarzana/Santa Marta (de Tera)	Fernando Regueras Grande	199-210	abierto
2021, Nº 31	8545266	La larga tradición votiva en el santuario de la Virgen de la Carballeda y en la ermita de San Mamé en Santa Eulalia de Rionegro	Julio Samuel Badenes Almenara	213-223	abierto
2021, Nº 31	8545267	Fernando Fernández Casariego y Rodríguez Trelles	Juan María Silvela Milans del Bosch	225-237	abierto
2021, Nº 31	8545268	1971. Camino a Santiago	José Mariño Serrano; Fernando Regueras Grande	239-251	abierto
